id,before_0,before_1,before_2,before_3,before_4,before_5,before_6,before_7,after_0,after_1,after_2,after_3,after_4,after_5,after_6,after_7,test_before,test_after,hint
799,<span class='from'>r</span>i<span class='from'>l</span>i<span class='from'>n</span><span class='from'>g</span>,<span class='from'>t</span>ea<span class='from'>p</span>o<span class='from'>t</span><span class='from'>s</span>,<span class='from'>s</span><span class='from'>c</span>a<span class='from'>l</span><span class='from'>p</span>e<span class='from'>r</span><span class='from'>s</span>,u<span class='from'>s</span>a<span class='from'>b</span><span class='from'>l</span>e,<span class='from'>h</span>ea<span class='from'>d</span><span class='from'>f</span>i<span class='from'>r</span><span class='from'>s</span><span class='from'>t</span>,<span class='from'>c</span><span class='from'>h</span>ao<span class='from'>s</span>,<span class='from'>s</span><span class='from'>t</span>i<span class='from'>m</span>u<span class='from'>l</span>a<span class='from'>t</span>io<span class='from'>n</span>,<span class='from'>d</span>e<span class='from'>m</span>o<span class='from'>n</span><span class='from'>s</span><span class='from'>t</span><span class='from'>r</span>a<span class='from'>t</span>io<span class='from'>n</span><span class='from'>s</span>,<span class='to'>wl</span>i<span class='to'>wl</span>i<span class='to'>wl</span><span class='to'>wl</span>,<span class='to'>wl</span>ea<span class='to'>wl</span>o<span class='to'>wl</span><span class='to'>wl</span>,<span class='to'>wl</span><span class='to'>wl</span>a<span class='to'>wl</span><span class='to'>wl</span>e<span class='to'>wl</span><span class='to'>wl</span>,u<span class='to'>wl</span>a<span class='to'>wl</span><span class='to'>wl</span>e,<span class='to'>wl</span>ea<span class='to'>wl</span><span class='to'>wl</span>i<span class='to'>wl</span><span class='to'>wl</span><span class='to'>wl</span>,<span class='to'>wl</span><span class='to'>wl</span>ao<span class='to'>wl</span>,<span class='to'>wl</span><span class='to'>wl</span>i<span class='to'>wl</span>u<span class='to'>wl</span>a<span class='to'>wl</span>io<span class='to'>wl</span>,<span class='to'>wl</span>e<span class='to'>wl</span>o<span class='to'>wl</span><span class='to'>wl</span><span class='to'>wl</span><span class='to'>wl</span>a<span class='to'>wl</span>io<span class='to'>wl</span><span class='to'>wl</span>,islands,iwlwlawlwlwl,look at <b>consonants</b>
800,<span class='from'>a</span>nymore,pandemonium,<span class='from'>i</span>mpresses,<span class='from'>o</span>carina,<span class='from'>e</span>xtrude,dactyl,<span class='from'>a</span>bsurd,<span class='from'>a</span>toned,<span class='to'>de</span>nymore,pandemonium,<span class='to'>de</span>mpresses,<span class='to'>de</span>carina,<span class='to'>de</span>xtrude,dactyl,<span class='to'>de</span>bsurd,<span class='to'>de</span>toned,embalmer,dembalmer,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b>
801,<span class='from'>ab</span>uzz,<span class='from'>fl</span>amed,<span class='from'>in</span>halants,<span class='from'>un</span>pack,remodeled,<span class='from'>ec</span>onomizes,<span class='from'>ch</span>unks,<span class='from'>pr</span>incess,<span class='to'>abn</span>uzz,<span class='to'>fln</span>amed,<span class='to'>inn</span>halants,<span class='to'>unn</span>pack,remodeled,<span class='to'>ecn</span>onomizes,<span class='to'>chn</span>unks,<span class='to'>prn</span>incess,syntactic,synntactic,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
802,outposts,<span class='from'>ge</span>nially,<span class='from'>ca</span>rnelian,<span class='from'>su</span>garier,<span class='from'>co</span>mmute,overdress,<span class='from'>ye</span>steryear,<span class='from'>li</span>fer,outposts,<span class='to'>vg</span>nially,<span class='to'>vg</span>rnelian,<span class='to'>vg</span>garier,<span class='to'>vg</span>mmute,overdress,<span class='to'>vg</span>steryear,<span class='to'>vg</span>fer,designated,vgsignated,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
803,<span class='from'>hu</span>rdled,<span class='from'>ne</span>cessitated,<span class='from'>lo</span>tus,druggist,<span class='from'>ve</span>ntilation,<span class='from'>ba</span>lloonist,<span class='from'>gu</span>npoint,<span class='from'>pi</span>ckers,<span class='to'>kb</span>rdled,<span class='to'>kb</span>cessitated,<span class='to'>kb</span>tus,druggist,<span class='to'>kb</span>ntilation,<span class='to'>kb</span>lloonist,<span class='to'>kb</span>npoint,<span class='to'>kb</span>ckers,sips,kbps,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b></li><li>look at <b>consonants</b>
804,<span class='from'>ve</span>ntilate,squab,<span class='from'>wa</span>rships,uranium,prehistoric,<span class='from'>co</span>nveniences,<span class='from'>ce</span>nterfold,<span class='from'>re</span>tinues,<span class='to'>ved</span>ntilate,squab,<span class='to'>wad</span>rships,uranium,prehistoric,<span class='to'>cod</span>nveniences,<span class='to'>ced</span>nterfold,<span class='to'>red</span>tinues,feeblest,fedeblest,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b>
805,<span class='from'>g</span>uffaw,<span class='from'>h</span>oarfrost,aids,<span class='from'>b</span>yline,<span class='from'>c</span>onvents,<span class='from'>s</span>tabled,<span class='from'>d</span>elimited,<span class='from'>s</span>teeling,<span class='to'>hn</span>uffaw,<span class='to'>hn</span>oarfrost,aids,<span class='to'>hn</span>yline,<span class='to'>hn</span>onvents,<span class='to'>hn</span>tabled,<span class='to'>hn</span>elimited,<span class='to'>hn</span>teeling,interlarding,interlarding,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
806,<span class='from'>re</span>alist,<span class='from'>ch</span>apping,<span class='from'>fe</span>uding,<span class='from'>da</span>lmatians,<span class='from'>at</span>eliers,<span class='from'>ro</span>dent,<span class='from'>ra</span>iders,<span class='from'>ch</span>eated,<span class='to'>rex</span>alist,<span class='to'>chx</span>apping,<span class='to'>fex</span>uding,<span class='to'>dax</span>lmatians,<span class='to'>atx</span>eliers,<span class='to'>rox</span>dent,<span class='to'>rax</span>iders,<span class='to'>chx</span>eated,reagent,rexagent,look at the <b>beginning</b> of the word
807,caterwau<span class='from'>l</span>,unio<span class='from'>n</span>,usur<span class='from'>y</span>,natio<span class='from'>n</span>,imminence,personalit<span class='from'>y</span>,psychopat<span class='from'>h</span>,flatca<span class='from'>r</span>,caterwau<span class='to'>fy</span>,unio<span class='to'>fy</span>,usur<span class='to'>fy</span>,natio<span class='to'>fy</span>,imminence,personalit<span class='to'>fy</span>,psychopat<span class='to'>fy</span>,flatca<span class='to'>fy</span>,privations,privationfy,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
808,t<span class='from'>we</span>n<span class='from'>ti</span>eth,e<span class='from'>xi</span><span class='from'>te</span>d,<span class='from'>ma</span><span class='from'>na</span><span class='from'>te</span>es,<span class='from'>pa</span>w<span class='from'>pa</span>ws,un<span class='from'>de</span>r<span class='from'>li</span>es,<span class='from'>qu</span>a<span class='from'>ke</span>s,<span class='from'>le</span>d<span class='from'>ge</span>r,c<span class='from'>le</span><span class='from'>ve</span>r,t<span class='to'>wwe</span>n<span class='to'>wti</span>eth,e<span class='to'>wxi</span><span class='to'>wte</span>d,<span class='to'>wma</span><span class='to'>wna</span><span class='to'>wte</span>es,<span class='to'>wpa</span>w<span class='to'>wpa</span>ws,un<span class='to'>wde</span>r<span class='to'>wli</span>es,<span class='to'>wqu</span>a<span class='to'>wke</span>s,<span class='to'>wle</span>d<span class='to'>wge</span>r,c<span class='to'>wle</span><span class='to'>wve</span>r,taillight,wtailwlight,look at <b>vowels</b></li><li>look at <b>consonants</b>
809,l<span class='from'>e</span>g<span class='from'>i</span><span class='from'>o</span>n,bl<span class='from'>u</span>nt,<span class='from'>a</span>ct<span class='from'>i</span>v<span class='from'>a</span>t<span class='from'>i</span>ng,b<span class='from'>a</span>ct<span class='from'>e</span>r<span class='from'>i</span><span class='from'>a</span>,dry<span class='from'>i</span>ng,r<span class='from'>e</span>q<span class='from'>u</span><span class='from'>i</span>t<span class='from'>a</span>l,f<span class='from'>o</span>rm<span class='from'>a</span>l,j<span class='from'>e</span>ll<span class='from'>e</span>d,l<span class='to'>au</span>g<span class='to'>au</span><span class='to'>au</span>n,bl<span class='to'>au</span>nt,<span class='to'>au</span>ct<span class='to'>au</span>v<span class='to'>au</span>t<span class='to'>au</span>ng,b<span class='to'>au</span>ct<span class='to'>au</span>r<span class='to'>au</span><span class='to'>au</span>,dry<span class='to'>au</span>ng,r<span class='to'>au</span>q<span class='to'>au</span><span class='to'>au</span>t<span class='to'>au</span>l,f<span class='to'>au</span>rm<span class='to'>au</span>l,j<span class='to'>au</span>ll<span class='to'>au</span>d,forewomen,faurauwaumaun,look at <b>vowels</b>
810,tollgate,<span class='from'>sp</span>acier,<span class='from'>sk</span>itters,subjugating,<span class='from'>ch</span>irps,worried,<span class='from'>ch</span>eeriest,minting,tollgate,<span class='to'>nb</span>acier,<span class='to'>nb</span>itters,subjugating,<span class='to'>nb</span>irps,worried,<span class='to'>nb</span>eeriest,minting,unintended,nbintended,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
811,physical,publishable,paean<span class='from'>s</span>,skunk<span class='from'>s</span>,synagog<span class='from'>s</span>,capitulate<span class='from'>s</span>,virago,undeniable,physical,publishable,paean<span class='to'>g</span>,skunk<span class='to'>g</span>,synagog<span class='to'>g</span>,capitulate<span class='to'>g</span>,virago,undeniable,stupefy,stupefy,look at the <b>end</b> of the word
812,limbo<span class='from'>s</span>,toiletin<span class='from'>g</span>,corrupte<span class='from'>d</span>,caulking<span class='from'>s</span>,decay<span class='from'>s</span>,relieve<span class='from'>d</span>,entice<span class='from'>s</span>,kilohertze<span class='from'>s</span>,limbo<span class='to'>j</span>,toiletin<span class='to'>j</span>,corrupte<span class='to'>j</span>,caulking<span class='to'>j</span>,decay<span class='to'>j</span>,relieve<span class='to'>j</span>,entice<span class='to'>j</span>,kilohertze<span class='to'>j</span>,miss,misj,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
813,<span class='from'>a</span><span class='from'>r</span><span class='from'>m</span><span class='from'>h</span><span class='from'>o</span><span class='from'>l</span><span class='from'>e</span><span class='from'>s</span>,<span class='from'>s</span><span class='from'>y</span><span class='from'>n</span><span class='from'>t</span><span class='from'>h</span><span class='from'>e</span><span class='from'>s</span><span class='from'>i</span><span class='from'>s</span>,<span class='from'>p</span><span class='from'>a</span><span class='from'>y</span><span class='from'>o</span><span class='from'>f</span><span class='from'>f</span><span class='from'>s</span>,<span class='from'>c</span><span class='from'>o</span><span class='from'>n</span><span class='from'>s</span><span class='from'>o</span><span class='from'>r</span><span class='from'>t</span><span class='from'>i</span><span class='from'>a</span>,<span class='from'>v</span><span class='from'>i</span><span class='from'>t</span><span class='from'>a</span><span class='from'>m</span><span class='from'>i</span><span class='from'>n</span>,<span class='from'>c</span><span class='from'>a</span><span class='from'>p</span><span class='from'>e</span>,<span class='from'>s</span><span class='from'>e</span><span class='from'>c</span><span class='from'>r</span><span class='from'>e</span><span class='from'>t</span><span class='from'>i</span><span class='from'>n</span><span class='from'>g</span>,<span class='from'>b</span><span class='from'>r</span><span class='from'>u</span><span class='from'>t</span><span class='from'>i</span><span class='from'>s</span><span class='from'>h</span><span class='from'>l</span><span class='from'>y</span>,<span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span>,<span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span>,<span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span>,<span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span>,<span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span>,<span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span>,<span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span>,<span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span><span class='to'>uy</span>,urgent,uyuyuyuyuyuy,(no hint for this problem)
814,<span class='from'>e</span>xtracts,contentiously,<span class='from'>o</span>bstacle,choreographed,rectified,contours,<span class='from'>i</span>nfesting,belladonna,<span class='to'>eo</span>xtracts,contentiously,<span class='to'>eo</span>bstacle,choreographed,rectified,contours,<span class='to'>eo</span>nfesting,belladonna,extraverted,eoxtraverted,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b>
815,mothbal<span class='from'>le</span>d,dowdi<span class='from'>ne</span>ss,fatig<span class='from'>ue</span>d,gar<span class='from'>de</span><span class='from'>ne</span>r,waspish,arch<span class='from'>de</span>acon,la<span class='from'>te</span>ral<span class='from'>le</span>d,<span class='from'>pe</span>nologist,mothbal<span class='to'>r</span>d,dowdi<span class='to'>r</span>ss,fatig<span class='to'>r</span>d,gar<span class='to'>r</span><span class='to'>r</span>r,waspish,arch<span class='to'>r</span>acon,la<span class='to'>r</span>ral<span class='to'>r</span>d,<span class='to'>r</span>nologist,stodgier,stodgrr,(no hint for this problem)
816,lo<span class='from'>an</span>,trivi<span class='from'>al</span>,espousing,inadvertently,aftermath,gustatory,anal<span class='from'>og</span>,faintest,lo<span class='to'>e</span>,trivi<span class='to'>e</span>,espousing,inadvertently,aftermath,gustatory,anal<span class='to'>e</span>,faintest,transgressing,transgressing,look at the <b>end</b> of the word</li><li>look at <b>vowels</b>
