id,before_0,before_1,before_2,before_3,before_4,before_5,before_6,before_7,after_0,after_1,after_2,after_3,after_4,after_5,after_6,after_7,test_before,test_after,hint
1794,<span class='from'>s</span>chismatics,<span class='from'>p</span>ersonalities,<span class='from'>e</span>locutionists,<span class='from'>t</span>ypewrites,<span class='from'>q</span>uestions,<span class='from'>p</span>lundering,<span class='from'>k</span>eys,<span class='from'>h</span>urraying,<span class='to'>pt</span>chismatics,<span class='to'>pt</span>ersonalities,<span class='to'>pt</span>locutionists,<span class='to'>pt</span>ypewrites,<span class='to'>pt</span>uestions,<span class='to'>pt</span>lundering,<span class='to'>pt</span>eys,<span class='to'>pt</span>urraying,taller,ptaller,look at the <b>beginning</b> of the word
1795,<span class='from'>b</span>utte,<span class='from'>w</span>isp,<span class='from'>m</span>emory,<span class='from'>m</span>eteorologist,<span class='from'>p</span>leading,<span class='from'>w</span>iled,<span class='from'>d</span>isarraying,<span class='from'>r</span>emarrying,<span class='to'>xb</span>utte,<span class='to'>xw</span>isp,<span class='to'>xm</span>emory,<span class='to'>xm</span>eteorologist,<span class='to'>xp</span>leading,<span class='to'>xw</span>iled,<span class='to'>xd</span>isarraying,<span class='to'>xr</span>emarrying,resilient,xresilient,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
1796,grumpines<span class='from'>s</span>,sloppil<span class='from'>y</span>,casket<span class='from'>s</span>,knickknac<span class='from'>k</span>,las<span class='from'>s</span>,nose<span class='from'>y</span>,underpa<span class='from'>y</span>,crackpot<span class='from'>s</span>,grumpines<span class='to'>jm</span>,sloppil<span class='to'>jm</span>,casket<span class='to'>jm</span>,knickknac<span class='to'>jm</span>,las<span class='to'>jm</span>,nose<span class='to'>jm</span>,underpa<span class='to'>jm</span>,crackpot<span class='to'>jm</span>,cajoles,cajolejm,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
1797,sailboats,<span class='from'>e</span>ggh<span class='from'>e</span>ads,kipp<span class='from'>e</span>r,wh<span class='from'>e</span>lks,cockin<span class='from'>e</span>ss,m<span class='from'>e</span>rc<span class='from'>e</span>riz<span class='from'>e</span>d,app<span class='from'>e</span>ndic<span class='from'>e</span>s,imp<span class='from'>e</span>nd,sailboats,<span class='to'>a</span>ggh<span class='to'>a</span>ads,kipp<span class='to'>a</span>r,wh<span class='to'>a</span>lks,cockin<span class='to'>a</span>ss,m<span class='to'>a</span>rc<span class='to'>a</span>riz<span class='to'>a</span>d,app<span class='to'>a</span>ndic<span class='to'>a</span>s,imp<span class='to'>a</span>nd,misruled,misrulad,(no hint for this problem)
1798,p<span class='from'>ro</span><span class='from'>hi</span><span class='from'>bi</span><span class='from'>ti</span>o<span class='from'>ni</span>sts,un<span class='from'>ke</span>mpt,<span class='from'>co</span>n<span class='from'>ti</span><span class='from'>nu</span>ing,<span class='from'>tu</span><span class='from'>be</span>rc<span class='from'>le</span>,g<span class='from'>ra</span><span class='from'>ti</span><span class='from'>fi</span><span class='from'>ca</span><span class='from'>ti</span>on,s<span class='from'>qu</span>a<span class='from'>li</span>d,<span class='from'>ve</span><span class='from'>ne</span>e<span class='from'>ri</span>ng,c<span class='from'>la</span><span class='from'>ri</span><span class='from'>ne</span>t,p<span class='to'>b</span><span class='to'>b</span><span class='to'>b</span><span class='to'>b</span>o<span class='to'>b</span>sts,un<span class='to'>b</span>mpt,<span class='to'>b</span>n<span class='to'>b</span><span class='to'>b</span>ing,<span class='to'>b</span><span class='to'>b</span>rc<span class='to'>b</span>,g<span class='to'>b</span><span class='to'>b</span><span class='to'>b</span><span class='to'>b</span><span class='to'>b</span>on,s<span class='to'>b</span>a<span class='to'>b</span>d,<span class='to'>b</span><span class='to'>b</span>e<span class='to'>b</span>ng,c<span class='to'>b</span><span class='to'>b</span><span class='to'>b</span>t,bassos,bsbs,look at <b>vowels</b></li><li>look at <b>consonants</b>
1799,<span class='from'>i</span>nactivity,hustlers,<span class='from'>a</span>quaplaning,peps,<span class='from'>a</span>nimism,glue,misjudgment,<span class='from'>a</span>rrogant,<span class='to'>me</span>nactivity,hustlers,<span class='to'>me</span>quaplaning,peps,<span class='to'>me</span>nimism,glue,misjudgment,<span class='to'>me</span>rrogant,implanting,memplanting,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b>
1800,pygm<span class='from'>i</span>es,toboggans,re<span class='from'>i</span>ncarnates,paltr<span class='from'>i</span>ness,horr<span class='from'>i</span>d,sens<span class='from'>i</span>b<span class='from'>i</span>l<span class='from'>i</span>ty,abnegate,exponents,pygm<span class='to'>ei</span>es,toboggans,re<span class='to'>ei</span>ncarnates,paltr<span class='to'>ei</span>ness,horr<span class='to'>ei</span>d,sens<span class='to'>ei</span>b<span class='to'>ei</span>l<span class='to'>ei</span>ty,abnegate,exponents,forklift,forkleift,(no hint for this problem)
1801,parch,dem<span class='from'>ur</span>red,c<span class='from'>ur</span>lews,aqueo<span class='from'>us</span>,hamb<span class='from'>ur</span>ger,yo<span class='from'>ut</span>hf<span class='from'>ul</span>ly,<span class='from'>un</span>quoted,sco<span class='from'>ur</span>ing,parch,dem<span class='to'>y</span>red,c<span class='to'>y</span>lews,aqueo<span class='to'>y</span>,hamb<span class='to'>y</span>ger,yo<span class='to'>y</span>hf<span class='to'>y</span>ly,<span class='to'>y</span>quoted,sco<span class='to'>y</span>ing,locust,locyt,look at <b>consonants</b>
1802,<span class='from'>b</span>ea<span class='from'>t</span>e<span class='from'>r</span>,<span class='from'>b</span>a<span class='from'>r</span><span class='from'>r</span>e<span class='from'>d</span>,a<span class='from'>p</span>a<span class='from'>r</span><span class='from'>t</span><span class='from'>m</span>e<span class='from'>n</span><span class='from'>t</span><span class='from'>s</span>,u<span class='from'>n</span><span class='from'>r</span>e<span class='from'>g</span>e<span class='from'>n</span>e<span class='from'>r</span>a<span class='from'>t</span>e,a<span class='from'>c</span><span class='from'>q</span>ui<span class='from'>s</span>i<span class='from'>t</span>io<span class='from'>n</span>,a<span class='from'>d</span><span class='from'>v</span>e<span class='from'>r</span><span class='from'>s</span>e<span class='from'>s</span><span class='from'>t</span>,ei<span class='from'>g</span><span class='from'>h</span><span class='from'>t</span>ie<span class='from'>s</span>,<span class='from'>h</span>ie<span class='from'>r</span>o<span class='from'>g</span><span class='from'>l</span><span class='from'>y</span><span class='from'>p</span><span class='from'>h</span>i<span class='from'>c</span>,<span class='to'>rk</span>ea<span class='to'>rk</span>e<span class='to'>rk</span>,<span class='to'>rk</span>a<span class='to'>rk</span><span class='to'>rk</span>e<span class='to'>rk</span>,a<span class='to'>rk</span>a<span class='to'>rk</span><span class='to'>rk</span><span class='to'>rk</span>e<span class='to'>rk</span><span class='to'>rk</span><span class='to'>rk</span>,u<span class='to'>rk</span><span class='to'>rk</span>e<span class='to'>rk</span>e<span class='to'>rk</span>e<span class='to'>rk</span>a<span class='to'>rk</span>e,a<span class='to'>rk</span><span class='to'>rk</span>ui<span class='to'>rk</span>i<span class='to'>rk</span>io<span class='to'>rk</span>,a<span class='to'>rk</span><span class='to'>rk</span>e<span class='to'>rk</span><span class='to'>rk</span>e<span class='to'>rk</span><span class='to'>rk</span>,ei<span class='to'>rk</span><span class='to'>rk</span><span class='to'>rk</span>ie<span class='to'>rk</span>,<span class='to'>rk</span>ie<span class='to'>rk</span>o<span class='to'>rk</span><span class='to'>rk</span><span class='to'>rk</span><span class='to'>rk</span><span class='to'>rk</span>i<span class='to'>rk</span>,audiophiles,aurkiorkrkirkerk,look at <b>consonants</b>
1803,troubl<span class='from'>es</span>,co<span class='from'>in</span>,deni<span class='from'>er</span>,campfire,insur<span class='from'>er</span>,canonizations,feint<span class='from'>ed</span>,fiche,troubl<span class='to'>d</span>,co<span class='to'>d</span>,deni<span class='to'>d</span>,campfire,insur<span class='to'>d</span>,canonizations,feint<span class='to'>d</span>,fiche,contemplates,contemplatd,look at the <b>end</b> of the word</li><li>look at <b>vowels</b></li><li>look at <b>consonants</b>
1804,oxy<span class='from'>m</span>orons,deprecating,ina<span class='from'>m</span>oratas,disco<span class='from'>m</span>posure,<span class='from'>m</span>igrations,tailwinds,kins<span class='from'>m</span>en,co<span class='from'>m</span><span class='from'>m</span>ence,oxy<span class='to'>tm</span>orons,deprecating,ina<span class='to'>tm</span>oratas,disco<span class='to'>tm</span>posure,<span class='to'>tm</span>igrations,tailwinds,kins<span class='to'>tm</span>en,co<span class='to'>tm</span><span class='to'>tm</span>ence,smirching,stmirching,(no hint for this problem)
1805,outs<span class='from'>e</span>lling,transmutation,parap<span class='from'>e</span>ts,consort,c<span class='from'>e</span>dar,c<span class='from'>e</span>rtificat<span class='from'>e</span>d,jib<span class='from'>e</span>s,maid<span class='from'>e</span>ns,outs<span class='to'>we</span>lling,transmutation,parap<span class='to'>we</span>ts,consort,c<span class='to'>we</span>dar,c<span class='to'>we</span>rtificat<span class='to'>we</span>d,jib<span class='to'>we</span>s,maid<span class='to'>we</span>ns,mitered,mitwerwed,(no hint for this problem)
1806,<span class='from'>s</span><span class='from'>w</span>ee<span class='from'>p</span><span class='from'>s</span><span class='from'>t</span>a<span class='from'>k</span>e,<span class='from'>f</span>i<span class='from'>f</span><span class='from'>t</span><span class='from'>y</span>,<span class='from'>t</span>o<span class='from'>n</span><span class='from'>g</span>ue,<span class='from'>d</span>e<span class='from'>g</span><span class='from'>r</span>a<span class='from'>d</span>e<span class='from'>s</span>,<span class='from'>t</span>ea<span class='from'>s</span><span class='from'>p</span>oo<span class='from'>n</span><span class='from'>s</span>,<span class='from'>c</span>o<span class='from'>n</span><span class='from'>g</span>e<span class='from'>n</span>ia<span class='from'>l</span><span class='from'>l</span><span class='from'>y</span>,<span class='from'>d</span>e<span class='from'>p</span>e<span class='from'>n</span><span class='from'>d</span>e<span class='from'>n</span><span class='from'>c</span>e,<span class='from'>t</span>o<span class='from'>t</span>a<span class='from'>l</span>i<span class='from'>t</span>a<span class='from'>r</span>ia<span class='from'>n</span>,<span class='to'>cp</span><span class='to'>cp</span>ee<span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span>a<span class='to'>cp</span>e,<span class='to'>cp</span>i<span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span>,<span class='to'>cp</span>o<span class='to'>cp</span><span class='to'>cp</span>ue,<span class='to'>cp</span>e<span class='to'>cp</span><span class='to'>cp</span>a<span class='to'>cp</span>e<span class='to'>cp</span>,<span class='to'>cp</span>ea<span class='to'>cp</span><span class='to'>cp</span>oo<span class='to'>cp</span><span class='to'>cp</span>,<span class='to'>cp</span>o<span class='to'>cp</span><span class='to'>cp</span>e<span class='to'>cp</span>ia<span class='to'>cp</span><span class='to'>cp</span><span class='to'>cp</span>,<span class='to'>cp</span>e<span class='to'>cp</span>e<span class='to'>cp</span><span class='to'>cp</span>e<span class='to'>cp</span><span class='to'>cp</span>e,<span class='to'>cp</span>o<span class='to'>cp</span>a<span class='to'>cp</span>i<span class='to'>cp</span>a<span class='to'>cp</span>ia<span class='to'>cp</span>,appends,acpcpecpcpcp,look at <b>consonants</b>
1807,duellis<span class='from'>t</span>,<span class='from'>t</span>axable,emo<span class='from'>t</span>ive,coagula<span class='from'>t</span>e,possessively,disciples,momen<span class='from'>t</span>,spli<span class='from'>t</span>,duellis<span class='to'></span>,<span class='to'></span>axable,emo<span class='to'></span>ive,coagula<span class='to'></span>e,possessively,disciples,momen<span class='to'></span>,spli<span class='to'></span>,janitors,janiors,(no hint for this problem)
1808,instrumenting,d<span class='from'>a</span>ily,jetting,rec<span class='from'>a</span>sting,<span class='from'>a</span>thletic,disent<span class='from'>a</span>ngle,subcontr<span class='from'>a</span>ctor,ecumenic<span class='from'>a</span>l,instrumenting,d<span class='to'>ub</span>ily,jetting,rec<span class='to'>ub</span>sting,<span class='to'>ub</span>thletic,disent<span class='to'>ub</span>ngle,subcontr<span class='to'>ub</span>ctor,ecumenic<span class='to'>ub</span>l,server,server,(no hint for this problem)
1809,pauperize,unsightliness,apportionment,chisell<span class='from'>ed</span>,defens<span class='from'>es</span>,turntabl<span class='from'>es</span>,unclassifi<span class='from'>ed</span>,internationaliz<span class='from'>ed</span>,pauperize,unsightliness,apportionment,chisell<span class='to'>eded</span>,defens<span class='to'>eses</span>,turntabl<span class='to'>eses</span>,unclassifi<span class='to'>eded</span>,internationaliz<span class='to'>eded</span>,usurpers,usurpers,look at the <b>end</b> of the word</li><li>look at <b>vowels</b></li><li>look at <b>consonants</b></li><li>look for <b>repitition</b>
1810,bo<span class='from'>n</span>kers,patter<span class='from'>n</span>i<span class='from'>n</span>g,disadva<span class='from'>n</span>tageous,bombarded,oilier,reso<span class='from'>n</span>a<span class='from'>n</span>ces,imperti<span class='from'>n</span>e<span class='from'>n</span>tly,coxswai<span class='from'>n</span>,bo<span class='to'>ns</span>kers,patter<span class='to'>ns</span>i<span class='to'>ns</span>g,disadva<span class='to'>ns</span>tageous,bombarded,oilier,reso<span class='to'>ns</span>a<span class='to'>ns</span>ces,imperti<span class='to'>ns</span>e<span class='to'>ns</span>tly,coxswai<span class='to'>ns</span>,telecommunication,telecommunsications,(no hint for this problem)
